Pipeline,:class:`AlexMI`,:class:`BNCI2014_001`,:class:`PhysionetMI`,:class:`Schirrmeister2017`,:class:`Weibo2014`,:class:`Zhou2016`
`ACM+TS+SVM`_,69.37±15.07,77.82±12.23,55.44±14.87,82.50±10.20,63.89±11.01,85.25±4.06
`CSP+LDA`_,61.04±17.22,65.99±15.47,47.73±14.35,72.97±10.42,39.45±11.87,82.96±5.20
`CSP+SVM`_,62.92±16.89,66.88±15.22,48.52±14.62,75.89±10.55,44.08±11.95,83.08±5.33
`DLCSPauto+shLDA`_,60.63±17.91,66.31±15.36,46.85±14.65,72.82±10.44,38.84±11.97,82.06±5.57
`DeepConvNet`_,37.71±4.56,35.29±8.26,27.68±3.91,56.78±18.11,24.17±9.80,55.69±5.61
`EEGITNet`_,36.04±3.43,35.55±6.35,26.15±4.95,70.44±14.68,25.78±8.00,50.68±16.27
`EEGNeX`_,37.71±9.64,45.62±15.29,26.69±5.64,67.56±14.15,30.22±11.02,56.42±11.29
`EEGNet_8_2`_,43.96±8.62,60.46±20.20,29.04±7.03,76.99±13.05,35.35±14.05,83.34±3.58
`EEGTCNet`_,34.17±1.86,41.65±13.73,25.79±3.85,71.11±11.96,17.95±3.88,37.19±2.57
`FilterBank+SVM`_,65.00±17.56,66.53±12.05,45.49±12.54,75.94±8.59,45.21±10.05,81.99±4.65
`FgMDM`_,65.63±15.63,70.14±15.13,55.04±14.17,82.97±10.08,56.94±9.26,83.07±4.96
`MDM`_,60.62±13.69,61.60±14.20,42.96±12.98,52.03±10.11,33.41±8.67,76.05±7.10
`ShallowConvNet`_,50.00±12.94,72.47±16.50,41.87±12.50,85.13±9.57,48.94±10.36,85.02±3.78
`TS+EL`_,69.79±13.75,72.38±14.85,59.93±14.07,85.53±9.40,63.84±8.77,84.54±4.93
`TS+LR`_,69.17±14.79,71.97±15.46,58.55±14.06,84.60±9.28,62.76±8.39,84.88±4.63
`TS+SVM`_,67.92±12.74,70.76±15.08,58.46±15.15,84.41±9.56,61.47±9.62,83.66±4.55
