Pipeline,:class:`BNCI2014_001`,:class:`BNCI2014_004`,:class:`Cho2017`,:class:`GrosseWentrup2009`,:class:`Lee2019_MI`,:class:`PhysionetMI`,:class:`Schirrmeister2017`,:class:`Shin2017A`,:class:`Weibo2014`,:class:`Zhou2016`
`ACM+TS+SVM`_,91.71±10.30,82.67±15.33,73.56±14.54,86.60±15.12,83.05±13.97,63.55±21.24,85.82±13.98,68.97±23.45,84.78±13.33,95.03±4.76
`CSP+LDA`_,82.34±17.26,80.10±14.93,71.38±14.54,76.44±20.95,76.88±17.41,65.75±17.37,77.23±18.43,72.30±21.79,80.72±15.29,93.15±6.88
`CSP+SVM`_,83.07±16.53,79.27±15.68,71.92±14.25,77.81±21.27,77.27±16.73,65.71±17.90,79.24±20.07,70.11±22.19,79.84±15.86,92.96±7.86
`DLCSPauto+shLDA`_,82.75±16.69,79.87±15.11,71.16±14.53,76.40±20.83,76.69±17.23,65.07±17.68,77.02±18.48,70.34±23.30,80.16±15.23,92.56±7.21
`DeepConvNet`_,82.07±15.52,72.36±18.53,71.67±12.91,82.38±15.39,70.65±15.76,59.57±16.77,81.23±17.39,56.03±19.18,73.64±15.78,94.42±6.21
`EEGITNet`_,75.27±16.37,65.10±15.32,57.20±12.21,72.19±14.71,59.17±11.72,52.71±11.11,74.66±20.52,52.18±16.78,59.35±14.06,69.41±14.66
`EEGNeX`_,66.28±13.22,66.53±17.10,53.28±10.60,57.00±7.52,55.12±10.05,51.20±10.63,68.58±19.37,49.02±17.58,57.97±15.65,61.56±14.60
`EEGNet_8_2`_,77.15±19.33,69.50±19.50,66.79±16.34,83.02±18.08,65.67±16.43,59.55±15.95,80.20±18.13,57.99±17.28,66.46±21.78,94.84±2.83
`EEGTCNet`_,67.46±20.81,69.70±19.55,58.34±12.63,68.45±16.27,55.68±12.75,55.90±12.74,75.62±22.33,51.26±16.77,63.16±18.32,82.24±9.40
`FilterBank+SVM`_,84.44±16.00,80.39±16.05,67.91±15.63,79.65±18.63,75.07±16.97,58.45±13.93,81.44±17.89,65.63±21.64,76.81±18.88,92.64±5.01
`FgMDM`_,86.53±12.14,79.28±15.25,72.90±12.70,87.02±13.20,81.34±13.93,68.46±19.06,86.71±13.79,70.86±23.36,78.41±14.85,92.54±6.67
`LogVariance+LDA`_,77.96±15.09,78.51±15.25,64.49±10.08,78.71±11.69,66.21±12.06,61.94±14.41,78.44±13.76,61.78±22.77,74.13±10.40,88.39±8.57
`LogVariance+SVM`_,75.86±16.45,78.30±15.18,65.46±11.71,81.73±12.40,73.83±13.85,62.35±16.87,79.42±13.66,61.38±22.68,74.85±11.33,88.47±8.50
`MDM`_,81.69±14.94,77.66±15.78,63.39±13.69,64.29±8.04,70.23±13.87,54.76±16.79,61.53±16.41,62.99±21.25,58.80±16.13,90.70±7.11
`ShallowConvNet`_,86.17±13.74,72.36±18.05,73.84±14.95,86.53±13.00,75.83±15.04,65.19±15.80,84.82±15.29,60.80±19.27,79.10±12.63,95.65±5.55
`TRCSP+LDA`_,79.84±16.28,79.78±15.22,71.85±13.84,78.29±16.66,76.26±15.41,67.24±17.23,79.14±15.91,67.30±23.19,79.33±14.43,93.53±6.38
`TS+EL`_,86.44±13.20,79.75±15.44,76.23±14.21,89.25±12.00,84.74±13.19,67.91±20.03,88.65±12.98,68.68±23.64,85.29±12.10,94.35±6.04
`TS+LR`_,87.41±12.58,80.09±15.01,75.01±13.71,87.60±13.20,83.09±13.46,67.28±19.19,87.22±13.83,69.31±23.06,83.62±13.88,94.16±6.33
`TS+SVM`_,86.48±13.58,79.41±15.26,74.62±14.19,88.08±13.58,83.57±14.08,68.18±19.92,87.64±13.48,68.45±24.25,83.72±14.28,93.37±6.30
