Pipeline,:class:`AlexMI`,:class:`BNCI2014_001`,:class:`BNCI2014_002`,:class:`BNCI2015_001`,:class:`BNCI2015_004`,:class:`PhysionetMI`,:class:`Schirrmeister2017`,:class:`Weibo2014`,:class:`Zhou2016`
`ACM+TS+SVM`_,86.56±12.26,97.32±3.35,88.60±10.71,93.01±8.09,62.60±14.62,93.33±8.46,98.67±3.06,93.25±4.12,97.18±3.00
`CSP+LDA`_,77.19±17.58,91.52±10.39,80.98±14.79,88.52±10.75,54.02±11.33,86.41±13.96,97.02±5.17,88.59±6.36,95.20±3.17
`CSP+SVM`_,78.59±20.14,91.04±10.35,81.21±15.30,89.19±10.08,52.08±11.05,88.04±12.57,97.50±4.90,88.64±5.90,94.95±3.53
`DLCSPauto+shLDA`_,77.03±18.93,91.54±10.37,80.45±15.52,88.87±10.42,53.02±10.75,86.81±13.34,96.95±5.22,88.48±6.53,94.43±3.41
`DeepConvNet`_,61.88±19.05,88.27±12.19,87.56±11.25,88.12±13.19,57.08±12.29,71.49±15.88,95.90±7.14,79.29±12.63,95.92±3.66
`EEGITNet`_,47.50±9.46,75.98±13.09,70.90±17.50,71.95±16.76,51.41±6.40,54.69±11.97,96.04±8.62,62.54±12.32,80.40±17.12
`EEGNeX`_,52.34±14.81,64.36±13.49,69.95±20.12,72.34±19.83,53.02±9.69,51.77±12.06,89.49±16.91,60.18±11.70,64.80±16.64
`EEGNet_8_2`_,64.22±16.01,88.55±14.92,83.93±16.31,90.43±11.75,54.20±8.20,73.78±15.59,96.50±8.07,78.15±14.46,94.58±3.21
`EEGTCNet`_,61.09±22.06,75.21±18.53,73.92±19.02,77.21±18.55,51.22±5.84,57.03±13.25,97.15±7.70,62.37±12.42,85.46±16.42
`FilterBank+SVM`_,80.78±18.86,93.55±6.29,80.39±16.83,91.57±7.66,52.51±9.82,83.97±12.43,97.40±4.18,88.27±7.91,94.63±3.94
`FgMDM`_,79.84±17.80,93.52±8.18,84.77±11.26,90.18±9.77,58.31±12.63,89.67±10.65,98.48±3.45,88.56±4.63,96.04±2.67
`MDM`_,74.22±21.19,89.13±10.38,77.48±14.11,86.20±12.99,48.45±9.62,81.78±11.64,84.67±13.13,65.18±9.75,92.21±4.31
`ShallowConvNet`_,64.22±18.33,93.00±8.05,87.60±12.05,91.41±10.88,57.23±12.36,74.75±14.98,98.06±4.35,88.70±5.60,97.06±1.86
`TS+EL`_,81.41±21.36,94.45±6.74,85.98±11.38,91.19±8.49,58.70±13.37,94.09±7.17,98.56±3.01,92.32±3.98,96.59±2.82
`TS+LR`_,83.75±17.47,94.45±7.06,85.86±11.01,91.09±8.71,61.01±14.22,93.15±7.40,98.60±3.08,91.53±4.53,96.76±2.58
`TS+SVM`_,82.66±18.16,94.01±7.60,86.19±11.50,90.81±8.95,62.55±15.30,94.27±7.19,98.72±2.92,91.84±4.25,96.11±2.99
